2019-10-31 21:04:24 info: [交割合约] - 获取公共交割合约全量信息成功，共: 27 条 ...
2019-11-01 10:23:04 info: [交割合约] - 获取公共交割合约全量信息成功，共: 27 条 ...
2019-11-01 10:23:13 info: [交割合约] - 公共交割合约全量信息更新数据库成功 ...
2019-11-01 10:23:14 info: [永续合约] - 获取公共合约全量信息成功，共: 9 条 ...
2019-11-01 10:23:15 info: [永续合约] - 公共合约全量信息更新数据库成功 ...
2019-11-01 10:23:15 info: 获取合约candle数据需请求 2970 次 ...
2019-11-01 10:23:55 info: 获取 BTC-USD-191108/900 K线成功: 从2019-10-25T20:23:15.796Z至2019-10-27T22:23:15.796Z, 共 200 条
2019-11-01 10:23:55 info: 获取 BTC-USD-191108/900 K线成功: 从2019-10-23T18:23:15.796Z至2019-10-25T20:23:15.797Z, 共 200 条
2019-11-01 10:23:55 info: 获取 BTC-USD-191108/900 K线成功: 从2019-10-21T16:23:15.797Z至2019-10-23T18:23:15.797Z, 共 200 条
2019-11-01 10:23:55 info: 获取 BTC-USD-191108/900 K线成功: 从2019-10-30T00:23:15.796Z至2019-11-01T02:23:15.796Z, 共 200 条
2019-11-01 10:23:55 info: 获取 BTC-USD-191108/900 K线成功: 从2019-10-27T22:23:15.796Z至2019-10-30T00:23:15.796Z, 共 200 条
2019-11-01 10:24:00 info: 获取 BTC-USD-191108/1800 K线成功: 从2019-10-11T06:23:15.797Z至2019-10-15T10:23:15.797Z, 共 200 条
2019-11-01 10:24:00 info: 获取 BTC-USD-191108/1800 K线成功: 从2019-10-23T18:23:15.797Z至2019-10-27T22:23:15.797Z, 共 200 条
2019-11-01 10:24:00 info: 获取 BTC-USD-191108/1800 K线成功: 从2019-10-27T22:23:15.797Z至2019-11-01T02:23:15.797Z, 共 200 条
2019-11-01 10:24:00 info: 获取 BTC-USD-191108/1800 K线成功: 从2019-10-15T10:23:15.797Z至2019-10-19T14:23:15.797Z, 共 200 条
2019-11-01 10:24:00 info: 获取 BTC-USD-191108/1800 K线成功: 从2019-10-19T14:23:15.797Z至2019-10-23T18:23:15.797Z, 共 200 条
2019-11-01 10:24:00 info: 获取 BTC-USD-191101/300 K线成功: 从2019-10-25T20:23:15.796Z至2019-10-26T13:03:15.796Z, 共 0 条
2019-11-01 10:24:00 info: 获取 BTC-USD-191101/300 K线成功: 从2019-10-25T03:43:15.796Z至2019-10-25T20:23:15.796Z, 共 0 条
2019-11-01 10:24:01 info: 获取 BTC-USD-191108/3600 K线成功: 从2019-10-15T10:23:15.797Z至2019-10-23T18:23:15.797Z, 共 200 条
2019-11-01 10:24:01 info: 获取 BTC-USD-191108/3600 K线成功: 从2019-10-23T18:23:15.797Z至2019-11-01T02:23:15.797Z, 共 200 条
2019-11-01 10:24:01 info: 获取 BTC-USD-191108/3600 K线成功: 从2019-09-28T18:23:15.797Z至2019-10-07T02:23:15.797Z, 共 200 条
2019-11-01 10:24:02 info: 获取 BTC-USD-191108/3600 K线成功: 从2019-10-07T02:23:15.797Z至2019-10-15T10:23:15.797Z, 共 200 条
2019-11-01 10:24:02 info: 获取 BTC-USD-191101/300 K线成功: 从2019-10-26T13:03:15.796Z至2019-10-27T05:43:15.796Z, 共 40 条
2019-11-01 10:24:02 info: 获取 BTC-USD-191101/300 K线成功: 从2019-10-27T05:43:15.796Z至2019-10-27T22:23:15.796Z, 共 200 条
2019-11-01 10:24:02 info: 获取 BTC-USD-191108/3600 K线成功: 从2019-09-20T10:23:15.797Z至2019-09-28T18:23:15.797Z, 共 200 条
2019-11-01 10:24:06 info: 获取 BTC-USD-191101/300 K线成功: 从2019-10-27T22:23:15.796Z至2019-10-28T15:03:15.796Z, 共 200 条
2019-11-01 10:24:16 info: 获取 BTC-USD-191101/900 K线成功: 从2019-10-13T08:23:15.797Z至2019-10-15T10:23:15.797Z, 共 0 条
2019-11-01 10:24:16 info: 获取 BTC-USD-191108/14400 K线成功: 从2019-05-18T10:23:15.798Z至2019-06-20T18:23:15.798Z, 共 172 条
2019-11-01 10:24:16 info: 获取 BTC-USD-191101/900 K线成功: 从2019-10-15T10:23:15.797Z至2019-10-17T12:23:15.797Z, 共 40 条
2019-11-01 10:24:16 info: 获取 BTC-USD-191108/14400 K线成功: 从2019-06-20T18:23:15.798Z至2019-07-24T02:23:15.798Z, 共 200 条
2019-11-01 10:24:16 info: 获取 BTC-USD-191108/14400 K线成功: 从2019-08-26T10:23:15.798Z至2019-09-28T18:23:15.798Z, 共 200 条
2019-11-01 10:24:16 info: 获取 BTC-USD-191108/14400 K线成功: 从2019-09-28T18:23:15.798Z至2019-11-01T02:23:15.798Z, 共 200 条
2019-11-01 10:24:16 info: 获取 BTC-USD-191108/14400 K线成功: 从2019-07-24T02:23:15.798Z至2019-08-26T10:23:15.798Z, 共 200 条
2019-11-01 10:24:16 info: 获取 BTC-USD-191101/900 K线成功: 从2019-10-17T12:23:15.797Z至2019-10-19T14:23:15.797Z, 共 200 条
2019-11-01 10:24:16 info: 获取 BTC-USD-191101/900 K线成功: 从2019-10-19T14:23:15.797Z至2019-10-21T16:23:15.797Z, 共 200 条
2019-11-01 10:24:16 info: 获取 BTC-USD-191101/900 K线成功: 从2019-10-11T06:23:15.797Z至2019-10-13T08:23:15.797Z, 共 0 条
2019-11-01 10:24:16 info: 获取 BTC-USD-191108/7200 K线成功: 从2019-09-28T18:23:15.798Z至2019-10-15T10:23:15.798Z, 共 200 条
2019-11-01 10:24:16 info: 获取 BTC-USD-191108/7200 K线成功: 从2019-10-15T10:23:15.798Z至2019-11-01T02:23:15.798Z, 共 200 条
2019-11-01 10:24:22 info: 获取 BTC-USD-191108/21600 K线成功: 从2019-04-15T02:23:15.799Z至2019-06-04T02:23:15.799Z, 共 48 条
2019-11-01 10:24:22 info: 获取 BTC-USD-191108/21600 K线成功: 从2019-06-04T02:23:15.799Z至2019-07-24T02:23:15.799Z, 共 200 条
2019-11-01 10:24:22 info: 获取 BTC-USD-191108/21600 K线成功: 从2019-02-24T02:23:15.799Z至2019-04-15T02:23:15.799Z, 共 0 条
2019-11-01 10:24:22 info: 获取 BTC-USD-191108/21600 K线成功: 从2019-07-24T02:23:15.799Z至2019-09-12T02:23:15.799Z, 共 200 条
2019-11-01 10:24:22 info: 获取 BTC-USD-191108/7200 K线成功: 从2019-09-12T02:23:15.798Z至2019-09-28T18:23:15.798Z, 共 200 条
2019-11-01 10:24:22 info: 获取 BTC-USD-191108/7200 K线成功: 从2019-08-26T10:23:15.798Z至2019-09-12T02:23:15.798Z, 共 200 条
2019-11-01 10:24:22 info: 获取 BTC-USD-191108/21600 K线成功: 从2019-09-12T02:23:15.799Z至2019-11-01T02:23:15.799Z, 共 200 条
2019-11-01 10:24:22 info: 获取 BTC-USD-191108/7200 K线成功: 从2019-08-09T18:23:15.798Z至2019-08-26T10:23:15.798Z, 共 200 条
2019-11-01 10:24:38 info: 获取 BTC-USD-191108/43200 K线成功: 从2019-04-15T02:23:15.799Z至2019-07-24T02:23:15.799Z, 共 200 条
2019-11-01 10:24:38 info: 获取 BTC-USD-191108/43200 K线成功: 从2019-01-05T02:23:15.799Z至2019-04-15T02:23:15.799Z, 共 44 条
2019-11-01 10:24:38 info: 获取 BTC-USD-191101/7200 K线成功: 从2019-06-04T02:23:15.798Z至2019-06-20T18:23:15.798Z, 共 0 条
2019-11-01 10:24:38 info: 获取 BTC-USD-191108/43200 K线成功: 从2018-09-27T02:23:15.799Z至2019-01-05T02:23:15.799Z, 共 0 条
2019-11-01 10:24:38 info: 获取 BTC-USD-191101/7200 K线成功: 从2019-06-20T18:23:15.798Z至2019-07-07T10:23:15.798Z, 共 40 条
2019-11-01 10:24:38 info: 获取 BTC-USD-191108/43200 K线成功: 从2019-07-24T02:23:15.799Z至2019-11-01T02:23:15.799Z, 共 200 条
2019-11-01 10:24:38 info: 获取 BTC-USD-191101/7200 K线成功: 从2019-05-18T10:23:15.798Z至2019-06-04T02:23:15.798Z, 共 0 条
2019-11-01 10:24:38 info: 获取 BTC-USD-191108/43200 K线成功: 从2018-06-19T02:23:15.799Z至2018-09-27T02:23:15.799Z, 共 0 条
